id,latitude,longitude,scientific_name,common_name,taxon_class_name,taxon_genus_name
67752624,38.5702365894,-121.7254517363,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
67752626,38.5702365894,-121.7254517363,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67752627,38.5702365894,-121.7254517363,Zenaida macroura,Mourning Dove,Aves,Zenaida
67752628,38.5702365894,-121.7254517363,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67752629,38.5702365894,-121.7254517363,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67752630,38.5702365894,-121.7254517363,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67752631,38.5702365894,-121.7254517363,Junco hyemalis,Dark-eyed Junco,Aves,Junco
67752632,38.5702365894,-121.7254517363,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67752633,38.5702365894,-121.7254517363,Sialia mexicana,Western Bluebird,Aves,Sialia
67752634,38.5702365894,-121.7254517363,Junco hyemalis,Dark-eyed Junco,Aves,Junco
67752635,38.5702365894,-121.7254517363,Spinus tristis,American Goldfinch,Aves,Spinus
67752638,38.5702365894,-121.7254517363,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
67752639,38.5702365894,-121.7254517363,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67752640,38.5702365894,-121.7254517363,Melospiza lincolnii,Lincoln's Sparrow,Aves,Melospiza
67752641,38.5702365894,-121.7254517363,Felis catus,Domestic Cat,Mammalia,Felis
67752642,38.5702365894,-121.7254517363,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67752643,38.5702365894,-121.7254517363,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67752644,38.5702365894,-121.7254517363,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
67752645,38.5702365894,-121.7254517363,Regulus calendula,Ruby-crowned Kinglet,Aves,Regulus
67755148,38.548748908,-121.676454657,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67773581,38.5716785275,-121.75953269,Pleurotus ostreatus,Oyster Mushroom,Agaricomycetes,Pleurotus
67797779,38.5495383333,-121.687905,Armillaria mellea,Honey Mushroom,Agaricomycetes,Armillaria
67846120,38.5532934,-121.78292282,Meleagris gallopavo,Wild Turkey,Aves,Meleagris
67846139,38.54710583,-121.77891598,Bubo virginianus,Great Horned Owl,Aves,Bubo
67865754,38.5451698303,-121.7453231811,Zenaida macroura,Mourning Dove,Aves,Zenaida
67867306,38.5517692564,-121.7203674314,Zenaida macroura,Mourning Dove,Aves,Zenaida
67877143,38.55461784,-121.72381834,Ligustrum lucidum,glossy privet,Magnoliopsida,Ligustrum
67881850,38.5702816667,-121.725455,Sialia mexicana,Western Bluebird,Aves,Sialia
67881851,38.5702816667,-121.725455,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
67881853,38.5702816667,-121.7254549667,Sialia mexicana,Western Bluebird,Aves,Sialia
67882378,38.5702302982,-121.7254839225,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67882380,38.5702302982,-121.7254839225,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
67882381,38.5702302982,-121.7254839225,Zenaida macroura,Mourning Dove,Aves,Zenaida
67882382,38.5702302982,-121.7254839225,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
67882383,38.5702302982,-121.7254839225,Colaptes auratus,Northern Flicker,Aves,Colaptes
67882384,38.5702302982,-121.7254839225,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67882385,38.5702302982,-121.7254839225,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67890719,38.5536258421,-121.7358183625,Accipiter cooperii,Cooper's Hawk,Aves,Accipiter
67930823,38.551145,-121.7093283333,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67937485,38.5702222134,-121.7254669587,Zenaida macroura,Mourning Dove,Aves,Zenaida
67990942,38.5702762763,-121.7254211587,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
67990943,38.5702762763,-121.7254211587,Sayornis nigricans,Black Phoebe,Aves,Sayornis
67990944,38.5702762763,-121.7254211587,Psaltriparus minimus,Bushtit,Aves,Psaltriparus
67990945,38.5702762763,-121.7254211587,Junco hyemalis,Dark-eyed Junco,Aves,Junco
67990946,38.5702762763,-121.7254211587,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67990947,38.5702762763,-121.7254211587,Zenaida macroura,Mourning Dove,Aves,Zenaida
67990948,38.5702762763,-121.7254211587,Calypte anna,Anna's Hummingbird,Aves,Calypte
67990949,38.5702762763,-121.7254211587,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67990951,38.5702762763,-121.7254211587,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67990952,38.5702762763,-121.7254211587,Leiothlypis celata,Orange-crowned Warbler,Aves,Leiothlypis
68020933,38.5702575187,-121.7254150526,Junco hyemalis,Dark-eyed Junco,Aves,Junco
68044725,38.5654292715,-121.7636924782,Alsophila pometaria,Fall Cankerworm Moth,Insecta,Alsophila
68081909,38.5458416425,-121.7338847369,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
68081933,38.5458815004,-121.7339900136,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
